"","s","e","temp"
"213",763200,766800,4.517989621
"214",766800,770400,4.392408992
"215",770400,774000,4.27871868
"216",774000,777600,4.184411522
"217",777600,781200,4.115654138
"218",781200,784800,4.076867991
"219",784800,788400,4.070429662
"220",788400,792000,4.096510642
"221",792000,795600,4.153067434
"222",795600,799200,4.235982542
"223",799200,802800,4.339346592
"224",802800,806400,4.455862279
"225",806400,810000,4.577342516
"226",810000,813600,4.695268792
"227",813600,817200,4.801371655
"228",817200,820800,4.888193769
"229",820800,824400,4.949597214
"230",824400,828000,4.981180515
"231",828000,831600,4.980577075
"232",831600,835200,4.947614772
"233",835200,838800,4.884325974
"234",838800,842400,4.794807383
"235",842400,846000,4.684939393
"236",846000,849600,4.56198418
"237",849600,853200,4.434089978
"238",853200,856800,4.309735395
"239",856800,860400,4.19715165
"240",860400,864000,4.103762105
"241",864000,867600,4.035677244
"242",867600,871200,3.997279464
"243",871200,874800,3.990925879
"244",874800,878400,4.016789292
"245",878400,882000,4.07284807
"246",882000,885600,4.155025487
"247",885600,889200,4.257468939
"248",889200,892800,4.372949915
"249",892800,896400,4.493357378
"250",896400,9e+05,4.610250899
"251",9e+05,903600,4.715435813
"252",903600,907200,4.801521217
"253",907200,910800,4.862422812
"254",910800,914400,4.89377638
"255",914400,918000,4.893233808
"256",918000,921600,4.860621569
"257",921600,925200,4.797950975
"258",925200,928800,4.709279613
"259",928800,932400,4.600433492
"260",932400,936000,4.47860895
"261",936000,939600,4.351881496
"262",939600,943200,4.228655121
"263",943200,946800,4.117089631
"264",946800,950400,4.024545003
"265",950400,954000,3.957080617
"266",954000,957600,3.919043425
"267",957600,961200,3.912773042
"268",961200,964800,3.938443771
"269",964800,968400,3.994054219
"270",968400,972000,4.075565122
"271",972000,975600,4.17717587
"272",975600,979200,4.29172083
"273",979200,982800,4.411158359
"274",982800,986400,4.527119173
"275",986400,990000,4.631476643
"276",990000,993600,4.716900197
"277",993600,997200,4.777354119
"278",997200,1000800,4.808507822
"279",1000800,1004400,4.808029702
"280",1004400,1008000,4.775744643
"281",1008000,1011600,4.713644529
"282",1011600,1015200,4.625751143
"283",1015200,1018800,4.517840894
"284",1018800,1022400,4.397050209
"285",1022400,1026000,4.271388534
"286",1026000,1029600,4.149192197
"287",1029600,1033200,4.038556347
"288",1033200,1036800,3.94678369
"289",1036800,1040400,3.879887545
"290",1040400,1044000,3.842183055
"291",1044000,1047600,3.83599431
"292",1047600,1051200,3.861497293
"293",1051200,1054800,3.916709229
"294",1054800,1058400,3.997624991
"295",1058400,1062000,4.098491177
"296",1062000,1065600,4.212199092
"297",1065600,1069200,4.330769817
"298",1069200,1072800,4.445898247
"299",1072800,1076400,4.549519023
"300",1076400,1080000,4.634355783
"301",1080000,1083600,4.694416343
"302",1083600,1087200,4.725400106
"303",1087200,1090800,4.724990003
"304",1090800,1094400,4.693009146
"305",1094400,1098000,4.631431617
"306",1098000,1101600,4.544246724
"307",1101600,1105200,4.437186074
"308",1105200,1108800,4.317332123
"309",1108800,1112400,4.192634944
"310",1112400,1116000,4.071370168
"311",1116000,1119600,3.96157507
"312",1119600,1123200,3.870501209
"313",1123200,1126800,3.804120904
